Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
raspberry pi pico board,devboard to code on,2,8.11,https://robu.in/product/raspberry-pi-pico/,robu
rotary encoder,knob control,2,4.00,https://robu.in/product/hongyan-ec11h-7ce15p1zy15f7-rotary-encoder-with-push-button-switch-vertical-plug-in/,robu
pcb,to soilder all things onn,1,46.00,https://robu.in/product/online-pcb-manufacturing-service/,robu
keycaps,to put above mx keys which give more surface area to click the button,1,22.00,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/astronaut-keycap-set/,meckeys
mx cherry keys,"to make button works, it is the buttons to press",44,17.00,https://www.amazon.in/Keyboard-Switches-Dust-Proof-Keycap-Puller/dp/B0GZVJZP6V/ref=sr_1_1?crid=1EHWTYDETVJK0&dib=eyJ2IjoiMSJ9.EPKf_Chov9UdC52FZTZhqD9gxnQ2H53JUXcx-ExCRIuWW5M0qEhEaj_EA4Hh8svkmQaRo_iwuATTiiKnUm_249SRJG3SZchNICn6NqN_LnjG7vWbbi8DNZnYo_UyOs1PBskO9rMlKtHwcH0_-CwgYq2Hd9GEhnLxf2cab6ss66qjs4INdDIkbpSQtbI0jD_gbd9Xzn6TXAXXerfTdFoA0XUWCOw7caRT4xZMyWuczbQ.EnDgPv4DcOxBSh3BzIr-p_Og38qAgpwU2yX1HpgDfDA&dib_tag=se&keywords=cherry+mx+switches&nsdOptOutParam=true&qid=1782203293&sprefix=mx+cherry%2Caps%2C295&sr=8-1,amazon
1N4148 diodes,key matrix isolation,44,3.00,https://robu.in/product/diode-1n4148/,robu
